Comment,Designator,Footprint,LCSC Part #
,JP12,1X01_NO_SILK,
,JP13,1X01_NO_SILK,
,JP2,1X02_NO_SILK,
,JP4,1X02_NO_SILK,
,JP5,1X02_NO_SILK,
,JP8,1X02_NO_SILK,
,JP11,1X02_NO_SILK,
,JP10,1X04_NO_SILK,
,JP9,JST-2-PTH-NS,
,JP6,JST-2-SMD,
,SJ1,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,
,SJ2,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,
,SJ3,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,
,SJ4,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,
,SJ5,PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,
,TP1,PAD.03X.04,
,TP2,PAD.03X.04,
,JP3,SCREWTERMINAL-3.5MM-2-NS,
,JP7,SCREWTERMINAL-3.5MM-2-NS,
0.01,R11,1206,
0.47uF,C4,0603-CAP,
1.0uF,C5,0603-CAP,
1.0uF,C1,1206-CAP,
1.1k,R7,0603-RES,
1K,R10,0603-RES,
4.7K,R13 R14,0603-RES,
10K,R2 R15 R16 R17,0603-RES,
10uF,C2 C3,0805-CAP,
100k,R8 R12,0603-RES,
180,R9,0603-RES,
590,R5,0603-RES,
BLUE,D1,LED-0603,
BQ24075,U1,PVQFN-N16,
BQ27441-G1,U2,PDSO-N12,
FIDUCIAL1X2,FID1 FID2,FIDUCIAL-1X2,
ILIM,R6,1/6W-RES,
ISET,R4,1/6W-RES,
RED,D2,LED-0603,
RIGHT_ANGLE_SLIDE_SWITCH_SMD,S1,SWITCH-SPST-SMD-A,
SW_DIP-2_SMD,S2,DIPSWITCH-02-50MIL,
TMR,R3,1/6W-RES,
TS,R1,1/6W-RES,
USB-AB-MICRO-SMD_V03,JP1,USB-AB-MICRO-SMD_V03,
