Designator,Mid X,Mid Y,Layer,Rotation
C1,22.86,24.13,Top,180.0
C2,19.05,18.41,Top,270.0
C3,26.67,19.43,Top,270.0
C4,16.70,13.97,Top,0.0
C5,18.41,15.24,Top,0.0
D1,13.97,31.12,Top,180.0
D2,16.51,31.12,Top,180.0
FID1, 0.89,28.19,Top,0.0
FID2,29.21, 5.08,Top,0.0
JP1,22.86,30.86,Top,270.0
JP2,10.16,31.75,Top,180.0
JP3,10.77,29.40,Top,180.0
JP4,10.16,26.67,Top,180.0
JP5, 1.27,19.05,Top,90.0
JP6, 5.71,20.32,Top,90.0
JP7,22.38, 3.62,Top,0.0
JP8,25.40, 1.27,Top,180.0
JP9,24.13, 6.03,Top,180.0
JP10, 7.62, 1.27,Top,0.0
JP11,20.32, 1.27,Top,180.0
JP12,26.67,22.86,Top,0.0
JP13, 1.27, 8.89,Top,0.0
R1, 3.81,11.43,Top,180.0
R2, 3.81,13.14,Top,180.0
R3, 3.81, 6.35,Top,180.0
R4,29.21,11.43,Top,0.0
R5,24.13,10.79,Top,180.0
R6,29.21, 8.89,Top,0.0
R7,24.13, 9.53,Top,180.0
R8,19.05, 6.35,Top,90.0
R9,13.97,27.30,Top,270.0
R10,16.51,27.30,Top,270.0
R11,15.88,24.13,Top,180.0
R12,26.67,25.40,Top,270.0
R13,11.43, 6.35,Top,270.0
R14,13.97, 6.35,Top,270.0
R15,16.51, 6.35,Top,270.0
R16,22.23,13.34,Top,90.0
R17,20.96,13.34,Top,90.0
S1,30.23,22.10,Top,270.0
S2,27.94,15.24,Top,90.0
SJ1, 3.81,14.41,Bottom,180.0
SJ2, 8.89, 6.35,Bottom,0.0
SJ3,29.21,11.43,Bottom,180.0
SJ4,29.21, 8.89,Bottom,180.0
SJ5,16.51,26.04,Bottom,90.0
TP1,22.92,26.35,Bottom,0.0
TP2,21.59,26.35,Bottom,0.0
U1,22.86,20.32,Top,270.0
U2,15.24,19.05,Top,0.0
